ITEM,SID,EID
CKING,519246,1
CD,519246,2
CD,519246,3
CKING,519258,1
SVG,519258,2
IRA,519258,3
ATM,519258,4
MTG,519258,5
MTG,519258,6
CKING,519319,1
MMDA,519319,2
SVG,519319,3
CCRD,519319,4
HMEQLC,519319,5
CKCRD,519319,6
CKCRD,519319,7
CKING,519357,1
SVG,519357,2
ATM,519357,3
ATM,519357,4
CKING,519466,1
SVG,519466,2
ATM,519466,3
MTG,519466,4
MTG,519466,5
CKING,519468,1
SVG,519468,2
HMEQLC,519468,3
CKCRD,519468,4
CKCRD,519468,5
CKING,519473,1
HMEQLC,519473,2
AUTO,519473,3
AUTO,519473,4
CKING,519554,1
SVG,519554,2
ATM,519554,3
ATM,519554,4
MMDA,519592,1
CD,519592,2
CD,519592,3
ATM,519643,1
CCRD,519643,2
CCRD,519643,3
CKING,519696,1
SVG,519696,2
CD,519696,3
IRA,519696,4
ATM,519696,5
CCRD,519696,6
HMEQLC,519696,7
HMEQLC,519696,8
CKING,519805,1
MMDA,519805,2
SVG,519805,3
CD,519805,4
IRA,519805,5
ATM,519805,6
ATM,519805,7
CKING,519843,1
SVG,519843,2
IRA,519843,3
ATM,519843,4
ATM,519843,5
CKING,519927,1
MMDA,519927,2
SVG,519927,3
ATM,519927,4
ATM,519927,5
CKING,520041,1
HMEQLC,520041,2
HMEQLC,520041,3
CKING,520130,1
CKING,520130,2
CKING,520146,1
SVG,520146,2
CKCRD,520146,3
CKCRD,520146,4
CKING,520167,1
MMDA,520167,2
SVG,520167,3
ATM,520167,4
ATM,520167,5
CKING,520227,1
ATM,520227,2
ATM,520227,3
CKING,520299,1
MMDA,520299,2
SVG,520299,3
ATM,520299,4
HMEQLC,520299,5
HMEQLC,520299,6
SVG,520351,1
CD,520351,2
CD,520351,3
SVG,520468,1
SVG,520468,2
SVG,520559,1
SVG,520559,2
CKING,520577,1
CD,520577,2
CD,520577,3
CKING,520672,1
SVG,520672,2
SVG,520672,3
CKING,520689,1
MMDA,520689,2
SVG,520689,3
CD,520689,4
AUTO,520689,5
AUTO,520689,6
CKING,520742,1
CD,520742,2
CD,520742,3
CKING,520771,1
SVG,520771,2
IRA,520771,3
CCRD,520771,4
CCRD,520771,5
CKING,520795,1
SVG,520795,2
CD,520795,3
IRA,520795,4
ATM,520795,5
TRUST,520795,6
TRUST,520795,7
CKING,521186,1
SVG,521186,2
ATM,521186,3
HMEQLC,521186,4
MTG,521186,5
MTG,521186,6
CKING,521199,1
SVG,521199,2
CCRD,521199,3
CCRD,521199,4
CKING,521241,1
SVG,521241,2
CD,521241,3
ATM,521241,4
HMEQLC,521241,5
MTG,521241,6
TRUST,521241,7
PLOAN,521241,8
PLOAN,521241,9
CKING,521445,1
SVG,521445,2
CKCRD,521445,3
CKCRD,521445,4
SVG,521502,1
SVG,521502,2
SVG,521539,1
CD,521539,2
ATM,521539,3
ATM,521539,4
CKING,521622,1
SVG,521622,2
SVG,521622,3
IRA,521687,1
IRA,521687,2
CKING,521852,1
ATM,521852,2
ATM,521852,3
CKING,521891,1
MMDA,521891,2
CD,521891,3
CCRD,521891,4
CCRD,521891,5
CKING,521896,1
SVG,521896,2
CCRD,521896,3
HMEQLC,521896,4
CKCRD,521896,5
CKCRD,521896,6
CKING,521898,1
SVG,521898,2
CKCRD,521898,3
CKCRD,521898,4
CKING,521902,1
SVG,521902,2
CD,521902,3
ATM,521902,4
ATM,521902,5
CKING,521903,1
MMDA,521903,2
CD,521903,3
CKCRD,521903,4
CKCRD,521903,5
CKING,521921,1
HMEQLC,521921,2
HMEQLC,521921,3
CKING,522014,1
SVG,522014,2
CD,522014,3
HMEQLC,522014,4
CKCRD,522014,5
CKCRD,522014,6
CKING,522232,1
MMDA,522232,2
SVG,522232,3
SVG,522232,4
SVG,522314,1
SVG,522314,2
CKING,522431,1
MMDA,522431,2
CCRD,522431,3
TRUST,522431,4
TRUST,522431,5
CKING,522432,1
SVG,522432,2
ATM,522432,3
ATM,522432,4
CKING,522590,1
SVG,522590,2
HMEQLC,522590,3
HMEQLC,522590,4
CKING,522784,1
ATM,522784,2
ATM,522784,3
CKING,522941,1
HMEQLC,522941,2
HMEQLC,522941,3
CKING,522989,1
SVG,522989,2
ATM,522989,3
CCRD,522989,4
HMEQLC,522989,5
HMEQLC,522989,6
CKING,523004,1
CKING,523004,2
SVG,523009,1
CD,523009,2
CD,523009,3
CKING,523011,1
MMDA,523011,2
SVG,523011,3
CD,523011,4
ATM,523011,5
ATM,523011,6
CKING,523031,1
CKING,523031,2
CKING,523088,1
CKING,523088,2
IRA,523097,1
IRA,523097,2
CKING,523161,1
SVG,523161,2
CD,523161,3
CD,523161,4
CKING,523204,1
SVG,523204,2
CD,523204,3
HMEQLC,523204,4
HMEQLC,523204,5
CKING,523292,1
SVG,523292,2
ATM,523292,3
AUTO,523292,4
AUTO,523292,5
CKING,523367,1
SVG,523367,2
SVG,523367,3
CKING,523387,1
SVG,523387,2
IRA,523387,3
ATM,523387,4
ATM,523387,5
CKING,523389,1
ATM,523389,2
CCRD,523389,3
HMEQLC,523389,4
HMEQLC,523389,5
CKING,523404,1
SVG,523404,2
SVG,523404,3
CKING,523434,1
MMDA,523434,2
ATM,523434,3
ATM,523434,4
ATM,523450,1
ATM,523450,2
CKING,523493,1
SVG,523493,2
ATM,523493,3
HMEQLC,523493,4
HMEQLC,523493,5
CKING,523546,1
CKING,523546,2
CKING,523640,1
ATM,523640,2
MTG,523640,3
MTG,523640,4
CKING,523671,1
SVG,523671,2
CD,523671,3
ATM,523671,4
ATM,523671,5
CKING,523684,1
SVG,523684,2
