"","ID","Prod","Quant","Val","Insp"
"3023","v288","p777",1908,48860,"ok"
"3024","v397","p777",1894,28710,"ok"
"3025","v397","p777",116,1445,"ok"
"3026","v566","p777",377,4585,"ok"
"3027","v567","p777",4227,76065,"ok"
"3028","v568","p777",111,1970,"ok"
"3029","v569","p777",530,8080,"ok"
"3030","v252","p777",420,7885,"ok"
"3031","v570","p777",127,1230,"ok"
"3032","v571","p777",1544,26425,"ok"
"3033","v566","p777",113,1780,"ok"
"3034","v498","p777",141,1560,"ok"
"3043","v441","p778",127,1435,"ok"
"3046","v511","p778",133,1220,"ok"
"3050","v545","p778",111,1625,"ok"
"3053","v573","p778",119,1240,"ok"
"3089","v442","p780",719,21135,"ok"
"3090","v288","p780",780,20625,"ok"
"3105","v440","p781",113,1625,"ok"
"3109","v570","p781",113,1445,"ok"
"3121","v566","p782",113,1190,"ok"
"3133","v578","p782",127,1625,"ok"
"3143","v518","p782",141,1570,"ok"
"3144","v265","p782",113,1405,"ok"
"3171","v506","p783",104,1145,"ok"
"3175","v442","p783",10300,32340,"ok"
"3176","v288","p783",1119,86170,"ok"
"3193","v288","p783",4752,103475,"ok"
"3207","v294","p784",1488,57695,"ok"
"3218","v288","p784",569,36240,"ok"
"3221","v287","p784",12650,48200,"ok"
"3231","v564","p785",130,1520,"ok"
"3232","v581","p785",183,5075,"ok"
"3233","v440","p785",855,11770,"ok"
"3234","v288","p785",16150,91890,"ok"
"3235","v397","p785",166,3555,"ok"
"3236","v280","p785",2322,8905,"ok"
"3237","v498","p785",216,1635,"ok"
"3238","v440","p785",350,5920,"ok"
"3239","v577","p785",2022,7800,"ok"
"3240","v534","p785",666,3555,"ok"
"3241","v397","p785",333,2150,"ok"
"3273","v483","p790",113,1180,"ok"
"3296","v465","p793",23069,73825,"ok"
"3306","v465","p793",13377,52385,"ok"
"3349","v606","p800",24416,331400,"ok"
"3359","v613","p800",13397,37635,"ok"
"3403","v621","p804",1233,24300,"ok"
"3411","v624","p804",11746,47900,"ok"
"3412","v625","p804",45164,189585,"ok"
"3417","v502","p805",4992,82365,"ok"
"3436","v502","p805",5139,47385,"ok"
"3440","v637","p805",12044,40065,"ok"
"3458","v277","p807",782,5165,"ok"
"3459","v614","p807",NA,1010,"ok"
"3460","v617","p807",127,1145,"ok"
"3461","v630","p807",210,2055,"ok"
"3462","v277","p807",1461,5880,"ok"
"3463","v642","p807",1224,7315,"ok"
"3464","v278","p807",135,1575,"ok"
"3465","v643","p807",1058,2400,"ok"
"3466","v608","p807",188,3265,"ok"
"3467","v633","p807",233,1730,"ok"
"3468","v471","p807",155,1210,"ok"
"3469","v491","p807",2101,5210,"ok"
"3470","v589","p807",372,3320,"ok"
"3471","v455","p807",5322,24395,"ok"
"3472","v562","p807",261,1370,"ok"
"3484","v647","p808",46757,58855,"ok"
"3488","v277","p808",16430,40010,"ok"
"3504","v621","p810",1799,34705,"ok"
"3506","v622","p810",7960,26470,"ok"
"3655","v165","p829",655,55235,"ok"
"3683","v364","p832",48772,11315,"fraud"
"3725","v54","p838",495,4295,"ok"
"3726","v712","p838",3431,15615,"ok"
"3727","v131","p838",126,1140,"ok"
"3728","v131","p838",112,1090,"ok"
"3729","v723","p838",166,1525,"ok"
"3730","v39","p838",191,1275,"ok"
"3731","v724","p838",355,2130,"ok"
"3732","v713","p838",101,1050,"ok"
"3733","v54","p838",963,4085,"ok"
"3734","v54","p838",1450,3150,"ok"
"3735","v152","p838",131,1600,"ok"
"3775","v426","p848",103,1155,"ok"
"3782","v364","p848",140100,2135,"fraud"
"3844","v455","p856",11211,31000,"ok"
"3847","v397","p856",11516,30115,"ok"
"3858","v544","p856",5144,24380,"ok"
"3860","v280","p856",12877,25555,"ok"
"3864","v495","p856",47016,94610,"ok"
"3865","v495","p856",12877,28060,"ok"
"3957","v210","p861",2766,21885,"ok"
"3958","v80","p861",6710,33330,"ok"
"4054","v539","p871",683,3360,"ok"
"4055","v43","p871",194,1185,"ok"
"4056","v277","p871",333,3190,"ok"
"4057","v757","p871",2476,13645,"ok"
"4058","v418","p871",363,1895,"ok"
"4059","v360","p871",1766,10760,"ok"
"4060","v397","p871",377,2585,"ok"
"4061","v640","p871",281,2020,"ok"
"4062","v130","p871",4266,21990,"ok"
"4063","v377","p871",4544,10445,"ok"
"4064","v771","p871",411,2755,"ok"
"4065","v281","p871",1225,7195,"ok"
"4066","v772","p871",1655,5410,"ok"
"4067","v589","p871",426,3600,"ok"
"4097","v688","p877",147,1725,"ok"
"4098","v277","p877",488,3475,"ok"
"4099","v781","p877",100,1185,"ok"
"4100","v782","p877",433,3490,"ok"
"4101","v5","p877",122,1210,"ok"
"4102","v562","p877",561,2090,"ok"
"4166","v805","p888",278,3895,"ok"
"4167","v474","p888",121,1315,"ok"
"4168","v806","p888",2322,10150,"ok"
"4169","v654","p888",735,4305,"ok"
"4170","v807","p888",566,4255,"ok"
"4171","v808","p888",15122,54725,"ok"
"4172","v809","p888",391,5705,"ok"
"4173","v810","p888",105,1395,"ok"
"4174","v811","p888",11031,30550,"ok"
"4175","v671","p888",266,2845,"ok"
"4176","v15","p888",134,1450,"ok"
"4177","v423","p888",8312,44495,"ok"
"4178","v333","p888",2698,18695,"ok"
"4179","v333","p888",200,1945,"ok"
"4180","v19","p888",180,4970,"ok"
"4181","v528","p888",162,3610,"ok"
"4182","v596","p888",222,1970,"ok"
"4183","v506","p888",110,1230,"ok"
"4184","v538","p888",808,3790,"ok"
"4185","v538","p888",4500,14795,"ok"
"4186","v538","p888",375,3080,"ok"
"4187","v538","p888",2933,9885,"ok"
"4188","v812","p888",2047,13425,"ok"
"4189","v538","p888",900,2875,"ok"
"4190","v538","p888",3297,8425,"ok"
"4191","v538","p888",1396,3315,"ok"
"4192","v813","p888",305,2500,"ok"
"4193","v814","p888",6991,14120,"ok"
"4194","v815","p888",6680,18645,"ok"
"4195","v808","p888",166,1205,"ok"
"4196","v265","p888",183,1380,"ok"
"4197","v816","p888",104,1075,"ok"
"4198","v538","p888",211,1240,"ok"
"4205","v377","p889",8988,12935,"ok"
"4223","v828","p889",8433,29030,"ok"
"4228","v831","p889",11211,15830,"ok"
"4247","v577","p892",4113,35010,"ok"
"4260","v772","p895",30933,39100,"ok"
"4291","v696","p907",304,24915,"ok"
"4292","v848","p907",4655,36265,"ok"
"4340","v855","p918",29211,76485,"ok"
"4347","v545","p918",11113,67295,"ok"
"4359","v506","p918",38123,166775,"ok"
"4361","v288","p918",33041,199205,"ok"
"4363","v397","p918",30855,109805,"ok"
"4377","v567","p918",36619,170280,"ok"
"4407","v503","p920",4866,34780,"ok"
"4418","v589","p920",4014,30270,"ok"
"4460","v483","p926",123933,147240,"ok"
"4473","v288","p928",13497,91590,"ok"
"4481","v277","p931",162,1610,"ok"
"4482","v254","p931",277,2110,"ok"
"4483","v654","p931",217,1910,"ok"
"4484","v749","p931",980,8620,"ok"
"4485","v661","p931",102,1055,"ok"
"4486","v601","p931",288,1055,"ok"
"4487","v260","p931",123,1400,"ok"
"4488","v502","p931",528,4290,"ok"
"4489","v671","p931",202,3100,"ok"
"4490","v488","p931",103,1045,"ok"
"4491","v667","p931",766,12825,"ok"
"4492","v505","p931",3516,6095,"ok"
"4493","v23","p931",157,1385,"ok"
"4494","v151","p931",246,1945,"ok"
"4495","v596","p931",548,8725,"ok"
"4496","v873","p931",128,1115,"ok"
"4497","v630","p931",588,3740,"ok"
"4498","v630","p931",141,1135,"ok"
"4499","v569","p931",113,1045,"ok"
"4500","v569","p931",116,1170,"ok"
"4501","v622","p931",1683,4985,"ok"
"4502","v375","p931",122,1135,"ok"
"4503","v477","p931",271,3000,"ok"
"4504","v252","p931",12533,22710,"ok"
"4505","v698","p931",3628,2150,"ok"
"4506","v608","p931",154,1580,"ok"
"4507","v606","p931",4071,19975,"ok"
"4508","v634","p931",113,1040,"ok"
"4509","v464","p931",100,1010,"ok"
"4510","v355","p931",1288,1960,"ok"
"4511","v589","p931",807,2455,"ok"
"4512","v765","p931",113,1030,"ok"
"4513","v631","p931",2461,5060,"ok"
"4514","v610","p931",333,1645,"ok"
"4515","v610","p931",433,2120,"ok"
"4516","v10","p931",355,2720,"ok"
"4517","v651","p931",313,1610,"ok"
"4518","v562","p931",200,1145,"ok"
"4553","v880","p936",25655,3105,"fraud"
"4558","v880","p936",300100,44475,"fraud"
"4562","v882","p936",100,1030,"ok"
"4586","v251","p943",25850,43105,"ok"
"4607","v889","p949",6663,30265,"ok"
"4610","v699","p949",4466,25100,"ok"
"4622","v294","p952",8100,37925,"ok"
"4642","v502","p952",4488,38155,"ok"
"4647","v621","p952",21355,113135,"ok"
"4658","v288","p952",4311,27705,"ok"
"4671","v253","p952",14144,43625,"ok"
"4679","v537","p952",13077,29615,"ok"
"4700","v264","p954",350,1780,"ok"
"4709","v376","p956",28363,55185,"ok"
"4731","v869","p958",548683,88590,"fraud"
"4735","v757","p958",136058,166190,"ok"
"4744","v18","p960",326891,604755,"ok"
"4748","v18","p960",212302,372655,"ok"
"4762","v598","p963",247002,348110,"ok"
"4775","v598","p963",178850,242565,"ok"
"4783","v590","p964",14238,77100,"ok"
"4794","v472","p965",12322,27035,"ok"
"4795","v287","p965",711,2685,"ok"
"4796","v376","p965",6211,21500,"ok"
"4797","v933","p965",1823,3210,"ok"
"4798","v661","p965",155,1400,"ok"
"4799","v933","p965",264,1385,"ok"
"4800","v264","p965",2600,6380,"ok"
"4801","v379","p965",12844,16600,"ok"
"4812","v871","p966",94022,132040,"ok"
"4818","v662","p968",37716,90355,"ok"
"4840","v277","p973",1766,19445,"ok"
"4858","v564","p977",133,1205,"ok"
"4877","v502","p980",11766,46780,"ok"
"4889","v502","p980",11877,51240,"ok"
"4892","v440","p980",6300,33400,"ok"
"4901","v397","p980",29400,99195,"ok"
"4911","v489","p980",23622,106240,"ok"
"4946","v621","p983",52277,232525,"ok"
"4962","v288","p985",54776,293335,"ok"
"4964","v147","p985",101,6550,"fraud"
"5029","v952","p991",28266,111435,"ok"
"5045","v945","p993",51155,236910,"ok"
"5046","v930","p993",1488,6910,"ok"
"5047","v921","p993",8433,34760,"ok"
"5048","v661","p993",1653,18460,"ok"
"5049","v661","p993",1766,13610,"ok"
"5050","v901","p993",11211,41500,"ok"
"5051","v777","p993",301,2655,"ok"
"5052","v908","p993",2230,5815,"ok"
"5053","v544","p993",2877,34750,"ok"
"5054","v945","p993",3433,10080,"ok"
"5055","v392","p993",8192,50745,"ok"
"5056","v252","p993",1766,6650,"ok"
"5057","v931","p993",211,1540,"ok"
"5058","v954","p993",655,8900,"ok"
"5059","v908","p993",3433,16475,"ok"
"5071","v957","p994",108,1135,"ok"
"5112","v960","p998",34247,136270,"ok"
"5129","v946","p1000",22322,95280,"ok"
"5133","v667","p1000",111,39455,"fraud"
"5137","v594","p1000",16416,83770,"ok"
"5140","v596","p1000",16788,174855,"ok"
"5166","v964","p1000",16766,55450,"ok"
"5183","v523","p1000",28600,38730,"ok"
"5199","v280","p1001",5516,24480,"ok"
"5211","v288","p1001",3866,35910,"ok"
"5213","v639","p1001",3833,25390,"ok"
"5218","v434","p1001",17322,62225,"ok"
"5228","v669","p1001",6455,25875,"ok"
"5234","v975","p1001",100,6100,"fraud"
"5235","v376","p1002",11713,34320,"ok"
"5302","v539","p1014",5586,55275,"ok"
"5308","v811","p1014",100,1010,"ok"
"5320","v816","p1014",812,63535,"ok"
"5371","v981","p1027",197,2570,"ok"
"5372","v803","p1027",1111,9415,"ok"
"5373","v803","p1027",148,2315,"ok"
"5426","v910","p1042",10498,32340,"ok"
"5451","v830","p1042",13005,149375,"ok"
"5458","v910","p1042",4288,37135,"ok"
"5468","v1020","p1044",2311,25940,"ok"
"5576","v615","p1059",25530,67235,"ok"
"5581","v615","p1059",13941,60580,"ok"
"5590","v1053","p1059",24986,71185,"ok"
"5606","v253","p1061",5657,26115,"ok"
"5607","v260","p1061",3158,66245,"ok"
"5611","v253","p1061",4822,27425,"ok"
"5650","v1002","p1068",12850,85665,"ok"
"5700","v260","p1077",3487,120090,"ok"
"5709","v472","p1078",6780,42985,"ok"
"5766","v988","p1086",3758,126520,"ok"
"5835","v629","p1096",16125,41130,"ok"
"5837","v1027","p1096",13593,26585,"ok"
"5872","v982","p1099",102,1145,"ok"
"5916","v1137","p1101",1838,31445,"ok"
"5917","v1044","p1101",24710,68775,"ok"
"5945","v1154","p1101",1034,8635,"ok"
"5953","v353","p1101",1319,32255,"ok"
"5955","v1094","p1101",337,6280,"ok"
"5960","v869","p1101",36839,112135,"ok"
"5964","v70","p1101",501,8400,"ok"
"5975","v1166","p1103",101,1030,"ok"
"5991","v795","p1103",5244,29160,"ok"
"5996","v529","p1103",108,1030,"ok"
"6011","v1187","p1103",107,1020,"ok"
"6014","v1189","p1103",107,1020,"ok"
"6029","v1195","p1103",100,1025,"ok"
"6038","v1197","p1104",15835,51885,"ok"
"6066","v256","p1109",3304,19625,"ok"
"6078","v685","p1109",7211,36825,"ok"
"6156","v39","p1114",103,1075,"ok"
"6170","v1119","p1114",100,1100,"ok"
"6172","v1225","p1115",10516,71395,"ok"
"6258","v747","p1121",108,1070,"ok"
"6267","v1249","p1121",100,1075,"ok"
"6271","v1251","p1121",106,1085,"ok"
"6277","v4","p1121",105,1070,"ok"
"6347","v1226","p1125",183,2055,"ok"
"6348","v277","p1125",138,1230,"ok"
"6349","v869","p1125",1583,3325,"ok"
"6350","v434","p1125",106,2400,"ok"
"6351","v891","p1125",103,1595,"ok"
"6352","v672","p1125",174,2595,"ok"
"6353","v645","p1125",425,5920,"ok"
"6354","v645","p1125",110,1065,"ok"
"6355","v539","p1125",432,4265,"ok"
"6356","v1184","p1125",104,1405,"ok"
"6357","v771","p1125",3288,32590,"ok"
"6358","v641","p1125",256,3390,"ok"
"6359","v1055","p1125",255,1495,"ok"
"6360","v1127","p1125",101,1055,"ok"
"6361","v1142","p1125",168,1415,"ok"
"6362","v1271","p1125",126,1200,"ok"
"6363","v1272","p1125",118,1750,"ok"
"6364","v1036","p1125",105,1190,"ok"
"6365","v1039","p1125",100,NA,"ok"
"6366","v1273","p1125",113,1805,"ok"
"6367","v194","p1125",111,1025,"ok"
"6368","v796","p1125",106,1170,"ok"
"6369","v349","p1125",105,1130,"ok"
"6370","v1146","p1125",293,2180,"ok"
"6371","v1274","p1125",156,3235,"ok"
"6372","v1170","p1125",113,1245,"ok"
"6373","v15","p1125",107,1195,"ok"
"6374","v1275","p1125",138,1025,"ok"
"6375","v1276","p1125",960,8095,"ok"
"6376","v683","p1125",2322,23000,"ok"
"6377","v1277","p1125",152,11205,"ok"
"6378","v1278","p1125",493,2900,"ok"
"6379","v1279","p1125",170,3035,"ok"
"6380","v1279","p1125",172,3100,"ok"
"6381","v1205","p1125",101,1010,"ok"
"6382","v1280","p1125",137,2930,"ok"
"6383","v654","p1125",1455,69700,"ok"
"6384","v1172","p1125",272,2070,"ok"
"6385","v955","p1125",1323,11805,"ok"
"6386","v988","p1125",221,3020,"ok"
"6387","v1164","p1125",175,2210,"ok"
"6388","v1281","p1125",104,1065,"ok"
"6389","v818","p1125",206,1875,"ok"
"6390","v977","p1125",7492,172435,"ok"
"6391","v1282","p1125",160,1770,"ok"
"6392","v356","p1125",441,6735,"ok"
"6393","v1241","p1125",713,3540,"ok"
"6394","v1283","p1125",101,1020,"ok"
"6395","v749","p1125",5528,107060,"ok"
"6396","v716","p1125",102,1270,"ok"
"6397","v23","p1125",116,1325,"ok"
"6398","v1130","p1125",4194,23530,"ok"
"6399","v1003","p1125",140,3565,"ok"
"6400","v933","p1125",473,3015,"ok"
"6401","v1284","p1125",119,1680,"ok"
"6402","v1285","p1125",105,2240,"ok"
"6403","v29","p1125",152,2005,"ok"
"6404","v1286","p1125",101,1035,"ok"
"6405","v43","p1125",145,1350,"ok"
"6406","v43","p1125",233,2210,"ok"
"6407","v43","p1125",108,1065,"ok"
"6408","v44","p1125",233,1970,"ok"
"6409","v44","p1125",118,1145,"ok"
"6410","v131","p1125",211,1155,"ok"
"6411","v764","p1125",151,2380,"ok"
"6412","v810","p1125",175,6530,"ok"
"6413","v1001","p1125",166,1435,"ok"
"6414","v1287","p1125",100,1085,"ok"
"6415","v1287","p1125",103,1510,"ok"
"6416","v846","p1125",213,4275,"ok"
"6417","v661","p1125",101,1480,"ok"
"6418","v1288","p1125",111,1200,"ok"
"6419","v913","p1125",200,2560,"ok"
"6420","v1132","p1125",270,1680,"ok"
"6421","v1289","p1125",397,3625,"ok"
"6422","v425","p1125",378,3935,"ok"
"6423","v426","p1125",138,1570,"ok"
"6424","v426","p1125",176,1970,"ok"
"6425","v426","p1125",288,3855,"ok"
"6426","v810","p1125",133,2530,"ok"
"6427","v661","p1125",101,1695,"ok"
"6428","v593","p1125",681,17665,"ok"
"6429","v593","p1125",129,1795,"ok"
"6430","v728","p1125",117,1300,"ok"
"6431","v154","p1125",794,6645,"ok"
"6432","v349","p1125",170,4450,"ok"
"6433","v1290","p1125",309,5605,"ok"
"6434","v169","p1125",538,2965,"ok"
"6435","v684","p1125",473,9465,"ok"
"6436","v727","p1125",544,8545,"ok"
"6437","v1291","p1125",559,7480,"ok"
"6438","v1292","p1125",110,1500,"ok"
"6439","v182","p1125",411,5550,"ok"
"6440","v933","p1125",1548,5620,"ok"
"6441","v1293","p1125",103,1125,"ok"
"6442","v1293","p1125",311,6455,"ok"
"6443","v455","p1125",3475,9875,"ok"
"6444","v160","p1125",281,1565,"ok"
"6445","v431","p1125",102,1310,"ok"
"6446","v431","p1125",288,6600,"ok"
"6447","v1138","p1125",329,2420,"ok"
"6448","v1294","p1125",153,2880,"ok"
"6449","v370","p1125",113,1925,"ok"
"6450","v1295","p1125",NA,1025,"ok"
"6451","v1296","p1125",100,1045,"ok"
"6452","v878","p1125",100,1165,"ok"
"6453","v136","p1125",138,5380,"ok"
"6454","v432","p1125",101,1245,"ok"
"6455","v539","p1125",322,4345,"ok"
"6456","v539","p1125",125,1610,"ok"
"6457","v377","p1125",113,1670,"ok"
"6458","v1297","p1125",290,24015,"ok"
"6459","v1298","p1125",1144,3540,"ok"
"6460","v593","p1125",236,1705,"ok"
"6461","v12","p1125",107,1055,"ok"
"6462","v1139","p1125",324,2020,"ok"
"6463","v805","p1125",106,1740,"ok"
"6464","v1140","p1125",196,1415,"ok"
"6465","v656","p1125",722,6760,"ok"
"6466","v260","p1125",1713,58620,"ok"
"6467","v982","p1125",322,1975,"ok"
"6468","v982","p1125",936,2045,"ok"
"6469","v1141","p1125",117,1080,"ok"
"6470","v771","p1125",448,3975,"ok"
"6471","v779","p1125",873,8565,"ok"
"6472","v979","p1125",116,3920,"ok"
"6473","v1299","p1125",101,1015,"ok"
"6474","v1300","p1125",113,1665,"ok"
"6475","v1142","p1125",201,1675,"ok"
"6476","v1143","p1125",256,6870,"ok"
"6477","v1143","p1125",103,1055,"ok"
"6478","v1144","p1125",134,1400,"ok"
"6479","v1039","p1125",111,1075,"ok"
"6480","v1178","p1125",556,3745,"ok"
"6481","v747","p1125",102,1440,"ok"
"6482","v1301","p1125",655,2965,"ok"
"6483","v1302","p1125",103,1860,"ok"
"6484","v1302","p1125",102,1770,"ok"
"6485","v1109","p1125",643,4575,"ok"
"6486","v349","p1125",106,1460,"ok"
"6487","v1146","p1125",277,2850,"ok"
"6488","v1146","p1125",113,1685,"ok"
"6489","v15","p1125",350,19760,"ok"
"6490","v1303","p1125",178,6965,"ok"
"6491","v1303","p1125",101,1535,"ok"
"6492","v1304","p1125",100,1230,"ok"
"6493","v1148","p1125",170,1550,"ok"
"6494","v663","p1125",100,1020,"ok"
"6495","v621","p1125",244,5185,"ok"
"6496","v333","p1125",188,7495,"ok"
"6497","v1149","p1125",1056,5635,"ok"
"6498","v1179","p1125",206,1790,"ok"
"6499","v1150","p1125",107,1310,"ok"
"6500","v872","p1125",188,2315,"ok"
"6501","v777","p1125",106,1120,"ok"
"6502","v1305","p1125",157,2595,"ok"
"6503","v1172","p1125",360,2525,"ok"
"6504","v1104","p1125",105,1380,"ok"
"6505","v1152","p1125",126,1090,"ok"
"6506","v1306","p1125",106,2290,"ok"
"6507","v955","p1125",134,8865,"ok"
"6508","v1161","p1125",1106,5280,"ok"
"6509","v1153","p1125",189,1320,"ok"
"6510","v1307","p1125",350,8795,"ok"
"6511","v1308","p1125",101,1130,"ok"
"6512","v1155","p1125",331,2475,"ok"
"6513","v1248","p1125",152,22100,"ok"
"6514","v1180","p1125",280,2140,"ok"
"6515","v1156","p1125",154,1565,"ok"
"6516","v950","p1125",NA,1240,"ok"
"6517","v22","p1125",202,2220,"ok"
"6518","v1209","p1125",178,1580,"ok"
"6519","v1158","p1125",212,1550,"ok"
"6520","v1158","p1125",NA,1005,"ok"
"6521","v19","p1125",203,35495,"ok"
"6522","v416","p1125",101,1240,"ok"
"6523","v1024","p1125",101,1395,"ok"
"6524","v1309","p1125",900,10215,"ok"
"6525","v360","p1125",105,1400,"ok"
"6526","v23","p1125",161,3230,"ok"
"6527","v23","p1125",117,1760,"ok"
"6528","v763","p1125",100,1050,"ok"
"6529","v454","p1125",101,1045,"ok"
"6530","v39","p1125",1168,9415,"ok"
"6531","v39","p1125",123,1535,"ok"
"6532","v1006","p1125",100,1060,"ok"
"6533","v1310","p1125",213,5640,"ok"
"6534","v1311","p1125",120,1055,"ok"
"6535","v10","p1125",237,6590,"ok"
"6536","v10","p1125",NA,1445,"ok"
"6537","v1250","p1125",102,1265,"ok"
"6538","v1181","p1125",166,1275,"ok"
"6539","v1181","p1125",162,1255,"ok"
"6540","v596","p1125",129,1600,"ok"
"6541","v1293","p1125",101,1745,"ok"
"6542","v630","p1125",388,12905,"ok"
"6543","v1312","p1125",103,1275,"ok"
"6544","v1159","p1125",344,1710,"ok"
"6545","v1182","p1125",316,2015,"ok"
"6546","v846","p1125",111,1300,"ok"
"6547","v835","p1125",213,4800,"ok"
"6548","v1183","p1125",158,2340,"ok"
"6549","v1183","p1125",102,1010,"ok"
"6550","v1183","p1125",123,1015,"ok"
"6551","v1183","p1125",131,1315,"ok"
"6552","v1183","p1125",112,1100,"ok"
"6553","v1183","p1125",119,1320,"ok"
"6554","v1313","p1125",1688,6595,"ok"
"6555","v1314","p1125",110,1055,"ok"
"6556","v1184","p1125",243,1795,"ok"
"6557","v1217","p1125",108,1105,"ok"
"6558","v1315","p1125",1194,14850,"ok"
"6559","v1027","p1125",6461,13275,"ok"
"6560","v1316","p1125",115,4370,"ok"
"6561","v1317","p1125",500,3850,"ok"
"6562","v1318","p1125",331,6470,"ok"
"6563","v982","p1125",101,1605,"ok"
"6564","v1319","p1125",1593,15085,"ok"
"6565","v569","p1125",101,1330,"ok"
"6566","v640","p1125",299,4160,"ok"
"6567","v1320","p1125",108,1030,"ok"
"6568","v1321","p1125",102,1315,"ok"
"6569","v1084","p1125",276,3320,"ok"
"6570","v779","p1125",197,3450,"ok"
"6571","v1322","p1125",101,1115,"ok"
"6572","v1300","p1125",157,2520,"ok"
"6573","v1323","p1125",232,5175,"ok"
"6574","v844","p1125",272,2125,"ok"
"6575","v839","p1125",122,1155,"ok"
"6576","v1324","p1125",450,6850,"ok"
"6577","v1325","p1125",658,2460,"ok"
"6578","v1326","p1125",104,1130,"ok"
"6579","v1327","p1125",111,1525,"ok"
"6580","v1328","p1125",602,5055,"ok"
"6581","v1329","p1125",101,1030,"ok"
"6582","v1330","p1125",102,1250,"ok"
"6583","v1196","p1125",100,1005,"ok"
"6584","v369","p1125",103,1160,"ok"
"6585","v1331","p1125",124,1540,"ok"
"6586","v1185","p1125",136,1160,"ok"
