"","application_id","bad_ind","vehicle_year","vehicle_make","bankruptcy_ind","tot_derog","tot_tr","age_oldest_tr","tot_open_tr","tot_rev_tr","tot_rev_debt","tot_rev_line","rev_util","fico_score","purch_price","msrp","down_pyt","loan_term","loan_amt","ltv","tot_income","veh_mileage","used_ind"
"58",141634,"0",1999,"BUICK","N",0,6,69,2,1,169,0,0,719,16427,15225,0,60,14327,95,3142,24217,1
"59",6038798,"0",2000,"TOYOTA","N",1,22,173,5,4,5526,14453,38,703,23817,23171,0,60,23817,105,1646.67,14,0
"60",4755808,"1",1999,"PONTIAC","N",6,15,132,8,7,3230,4640,70,679,21506,17825,973,66,19600,119,2150,30100,1
"61",1966579,"1",1999,"OLDSMOBILE","N",9,12,66,NA,NA,NA,NA,0,613,20438.45,17500,0,66,15821.75,91,5391.66,20596,1
"62",4087730,"0",1998,"LINCOLN","N",8,28,126,NA,8,28774,48191,60,618,33000,36725,0,48,33000,90,7000,35925,1
"63",9557957,"0",2000,"ACURA","N",2,40,115,6,5,29369,29331,100,606,29195,28855,0,36,27150,96,4250,10,0
"64",7502285,"1",2000,"KIA","N",5,17,73,6,4,4204,5899,71,729,13389,12900,500,60,16179,129,2000,1,0
"65",7479638,"0",1999,"FORD","N",0,39,269,16,6,6888,16570,42,611,24900,25000,0,60,24900,102,16666.67,21900,1
"66",6835066,"0",1999,"MERCEDES BENZ","N",4,22,111,12,11,10276,34378,30,605,43000,43000,0,60,43000,100,866.66,6000,0
"67",7876600,"0",2000,"CHEVROLET","N",0,5,30,5,2,1910,1974,97,NA,0,18375,0,63,20212,121,4125,1,0
"68",5903423,"0",1997,"TOYOTA","N",2,22,126,7,4,11187,8721,128,698,15487.75,15750,0,60,13219.75,84,3600,21000,1
"69",9956768,"0",2000,"FORD","N",7,32,185,8,3,4399,35355,12,709,37700.4,41895,0,36,37700.4,90,41666.67,183,0
"70",5645130,"0",2000,"CHEV","N",0,5,103,3,1,433,9000,5,791,21496.71,21765,2498.68,48,18998.03,87,3458,1,0
"71",7163082,"1",1997,"DODGE","",NA,NA,NA,NA,NA,NA,NA,0,NA,13424,12750,750,60,12674,116,1290,39,1
"72",3673267,"0",1999,"PONTIAC","N",0,3,26,1,0,0,800,0,711,19000,18225,0,60,14600,81,2500,25000,1
"73",1703929,"0",1999,"FORD","N",0,14,60,NA,2,1427,17901,8,724,22000,23000,0,39,22000,96,3600,18000,1
"74",7779939,"0",2000,"TOYOTA","N",0,9,272,1,1,408,26000,2,734,27137.84,31891,0,48,27137.84,89,8333.33,50,0
"75",9282462,"1",1996,"DODGE","N",0,3,21,1,0,0,1000,0,699,14860,12975,0,60,13860,113,1800,54787,1
"76",3058190,"0",1997,"BUICK","N",0,15,153,NA,3,1989,23620,8,774,12500,9000,0,48,8500,104,2916.67,37000,1
"77",804662,"0",1998,"CHEV","Y",3,17,189,NA,2,1713,7847,22,642,10993,10500,400,60,10593,102,3000,21000,1
"78",1719119,"0",1997,"TOYOTA","N",1,15,177,6,4,4876,22655,22,709,17412,14425,0,60,17412,126,2400,32468,1
"79",2656855,"0",2000,"FORD","N",0,8,306,NA,3,1069,39592,3,782,38742.31,36765,11500,60,15900,47,8333.33,1,0
"80",8007492,"0",2000,"TOYOTA","N",1,14,68,8,2,4670,19550,24,731,20582.79,20402,0,60,20582.79,104,4500,459,0
"81",2863987,"0",2000,"TOYOTA","N",0,15,336,3,2,4208,18500,23,784,22024,20870,2000,60,20024,99,5000,1,0
"82",4853346,"0",0,"","N",2,31,153,6,4,24880,49000,51,707,5850,0,0,60,5850,100,4800,0,0
"83",8043856,"0",1997,"FORD","N",1,20,112,7,4,2827,9052,31,649,15370,15575,2500,60,12870,84,3666.67,87,1
"84",1989520,"1",2000,"XXXXX","Y",8,31,169,5,3,2684,6543,41,654,16600,19440,0,60,16600,87,3500,1,0
"85",7337478,"0",1999,"FORD","N",5,22,226,5,1,2179,2500,87,648,27570,19053,2000,66,21295,112,2850,10,1
"86",5854608,"1",1995,"FORD","N",3,3,46,NA,3,14874,13235,112,669,16000,13550,3000,48,13000,108,5191.66,66000,1
"87",3061022,"0",1999,"DODGE","N",1,21,167,3,2,9026,20763,43,710,12500,13575,1100,66,11400,85,1750,20378,1
"88",9325719,"0",2000,"HONDA","N",0,26,426,7,5,1368,50645,3,790,22862.65,24965,2039.72,36,20822.93,83,0,20,0
"89",2382801,"0",2000,"TOYOTA","N",0,2,7,2,1,931,1000,93,645,22449.46,23647,0,51,22449.46,95,6666.67,25,0
"90",594294,"0",1998,"MITSUBISHI","N",0,16,113,NA,4,7263,23400,31,736,13500,13725,0,48,13500,110,2100,10000,1
"91",742793,"0",2000,"CHEV","N",0,37,128,12,5,17338,34600,50,689,19777,18335,0,66,19777,108,8583.33,1,0
"92",6400685,"0",1997,"NISSAN","N",0,6,81,6,2,6704,10400,64,575,9300,9175,0,54,8800,117,1809,55513,1
"93",1929297,"0",0,"","N",1,24,89,1,0,0,33200,0,695,7500,0,500,60,7000,93,8800,0,0
"94",1109013,"0",1998,"PONTIAC","N",0,1,21,NA,0,0,1000,0,763,11760,14800,1500,60,12950,90,2253.33,14995,1
"95",9722345,"0",1999,"NISSAN","N",0,32,125,5,3,2145,36200,6,743,13662.68,11500,0,60,13662.68,119,5583.33,16000,1
"96",6480791,"0",1999,"MERCURY","N",0,13,316,8,3,2408,3179,76,730,22364,18225,0,66,21174,116,1883.33,18000,1
"97",6643733,"0",2000,"FORD","N",0,10,104,3,2,3038,7600,40,NA,19052,22160,0,36,19052,86,1600,1,0
"98",3990810,"0",2000,"NISSAN","N",3,21,276,5,3,12478,20500,61,617,23500,23000,3000,60,20500,94,5000,1,0
"99",9348426,"0",1997,"CHEV","N",0,8,52,6,2,3267,10200,32,718,15212,11500,0,60,13750,120,3813.34,15,1
"100",5992844,"0",1997,"CAD","N",7,13,185,4,2,3042,1800,169,663,25483.47,23275,1000,54,24031.47,106,2706.88,42504,1
"101",9427805,"0",1998,"BUICK","N",1,3,126,2,1,390,600,65,693,14988,15900,0,60,14988,110,4758,31000,1
"102",5884546,"1",1999,"ISUZU","N",0,31,180,14,7,30830,41392,74,NA,0,20870,0,60,21345,116,5166.67,10,0
"103",635949,"0",2000,"JEEP","N",1,32,159,7,1,22,18700,0,675,26279,25510,100,60,26179,108,7800,2000,0
"104",2845524,"0",1999,"CHEVY","",3,4,194,NA,NA,NA,NA,0,NA,35358,42460,2635,66,32723,77,2172,80,1
"105",2565302,"0",1994,"FORD","N",0,20,173,3,1,28,29500,0,783,5901,5900,0,36,5901,100,166.67,112000,1
"106",9750787,"1",1996,"FORD","N",10,13,100,2,1,606,0,0,612,16288,15000,1600,54,14688,111,3515,29000,1
"107",3990693,"0",1999,"PONTIAC","N",0,31,397,4,3,807,50872,2,777,20220,18200,8000,60,12220,76,1666.67,24585,1
"108",4772272,"0",1999,"HYUNDAI","N",3,14,94,6,3,3765,4376,86,641,13600,14000,0,66,13600,97,3900,7000,1
"109",2718835,"1",1997,"CHEVY","Y",8,17,131,NA,1,510,498,102,614,14000,11000,2000,60,11531,105,2000,43000,1
"110",9245682,"0",1998,"GMC","N",3,20,200,4,0,0,2300,0,691,18118,17500,12000,60,6118,41,875,23000,1
"111",5873395,"0",1997,"OLDSMOBILE","N",0,22,182,5,2,735,13669,5,765,14382,13500,3000,60,10582,89,6666.67,23000,1
"112",3146040,"0",2000,"DODGE","N",0,30,317,9,0,0,11600,0,750,37229.44,32080,500,60,36729.44,114,3000,50,0
"113",7770310,"1",2000,"CHEV","Y",7,23,200,9,6,6067,6384,95,706,24528,22299,0,60,24528,119,3800,1,0
"114",7217198,"1",1996,"GMC","N",0,2,69,1,0,0,0,0,682,24000,20225,2000,66,22000,119,2700,46000,1
"115",8507935,"1",0,"","N",2,10,81,3,1,4096,4696,87,572,6191.78,7199,0,60,7144.37,99,5416.67,0,0
"116",5270668,"0",2000,"TOYOTA","N",1,14,62,8,3,2328,16030,15,780,21274.76,21873,466,48,20808.76,95,11516.66,22,0
"117",865088,"0",2000,"CHEVROLET","N",0,15,182,3,2,1773,20500,9,809,16870,16800,1250,72,12920,77,0,1,0
"118",4729268,"0",1999,"CHEV","N",0,21,290,8,4,13301,60880,22,717,18347,17035,3000,60,12226,82,3633,0,0
"119",6242701,"1",2000,"CHEVY","N",0,9,201,5,4,45715,47150,97,680,41076,45995,500,60,40576,92,16666.67,1,0
"120",5003611,"0",1992,"MERCURY","N",1,3,15,NA,2,1681,1749,96,605,6363,6000,2000,36,4363,92,1800,80734,1
"121",7590852,"1",1999,"HYUNDAI","N",4,9,369,2,1,451,459,98,612,18420,15000,0,60,15000,102,2886,20000,1
"122",9017717,"0",1999,"CHEVY","N",0,21,187,5,4,8665,45500,19,699,35000,38865,2000,36,33000,86,9166.67,1,0
"123",9078947,"0",2000,"HYUNDAI","N",0,38,182,18,13,44908,49911,90,701,18560,17139,0,63,18560,115,4723.34,1,0
"124",6231127,"0",2000,"FORD","N",0,34,152,9,7,39525,78098,51,687,32380,34855,985.09,36,31394.91,90,9000,197,0
"125",8107799,"0",1997,"CHRYSLER","N",1,12,301,6,4,5620,8529,66,685,16078.76,15700,0,60,16078.76,106,2500,37456,1
"126",8609346,"0",2000,"PLYMOUTH","N",0,4,25,4,3,841,2360,36,687,21792.83,22195,3300,60,18492.83,83,2440,180,0
"127",3506612,"0",1999,"FORD","N",1,36,178,6,3,1938,12300,16,747,22600,22890,2000,60,18700,82,1600,37,1
"128",1242302,"1",1997,"CHEVY","N",1,7,158,3,2,3803,11400,33,744,13299,12825,0,66,13299,110,1916.67,53000,1
"129",8463332,"0",1997,"CHEV","Y",7,14,132,NA,1,1185,0,0,645,6900,9900,0,48,5900,66,1285,64188,1
"130",146708,"1",2000,"DODGE","N",NA,NA,NA,NA,NA,NA,NA,0,688,15433.35,12500,0,66,13253.35,107,5609.99,21072,0
"131",8893612,"1",1997,"DODGE","",NA,NA,NA,NA,NA,NA,NA,0,NA,10000,14000,0,60,10000,86,1500.58,32000,1
"132",664504,"0",2000,"NISSAN","N",0,1,48,1,0,0,1200,0,741,20701,18000,2500,72,18201,129,1600,1,1
"133",8504604,"1",1999,"HONDA","N",5,15,83,4,1,112,4190,3,712,12600,11250,0,60,12600,121,3000,72000,1
"134",5371508,"0",1999,"CHEVY","N",1,3,28,3,1,27,100,27,612,11828,11600,0,66,11828,102,1666.67,10,1
"135",9380357,"0",2000,"FORD","N",1,12,173,6,5,9719,14011,69,705,25814,20000,1500,72,24314,149,3500,1,0
"136",262448,"0",1998,"CHEVY","N",0,3,37,2,1,3388,8500,40,668,28587,28950,1000,66,27140,99,1200,19000,1
"137",8136222,"0",2000,"FORD","N",0,21,152,9,7,17362,64716,27,684,27500,31482,1000,60,26500,86,5000,1,0
"138",388586,"0",1996,"CHEVROLET","N",0,23,376,8,3,2726,19400,14,775,9868.2,8750,0,60,9868.2,125,5350,69214,1
"139",7288304,"0",1998,"MERCURY","N",0,17,113,19,4,17978,25200,71,679,8234,9150,0,60,8234,97,2300,30960,1
"140",1767960,"0",2000,"TOYOTA","N",2,14,268,NA,1,1717,9000,19,686,33365.73,36826,81.7,48,33284.03,93,24583.33,1,0
"141",9436792,"0",1993,"CHEV","N",0,13,480,4,3,895,27341,3,790,9606,6700,1000,42,8606,130,11700,82119,1
"142",3083591,"1",1998,"FORD","N",3,26,252,8,5,1446,13420,11,728,29635.66,24075,3337.86,48,26297.8,109,2600,25321,1
"143",8895621,"0",2000,"FORD","N",0,36,281,6,1,5081,87500,6,768,40984,46210,5984,60,35000,76,108333.33,1,0
"144",9372969,"0",0,"","N",0,7,52,6,2,1543,2000,77,682,5000,0,1000,60,4000,80,3200,0,0
"145",8717693,"0",2000,"DODGE","N",14,25,188,8,4,4759,8072,59,709,28000,30000,0,48,28000,98,9200,1,0
"146",2467674,"0",1998,"CHEVROLET","Y",5,9,78,NA,4,4982,6768,74,647,13750,14275,1450,60,11300,79,3500,32000,1
"147",5593398,"0",1996,"NISSAN","N",5,9,18,4,3,608,1194,51,569,8500,8925,1000,48,7303,84,2333.33,45000,1
"148",6358569,"0",2000,"CHEVY","N",1,11,131,3,2,1027,7138,14,732,19823,20516,2000,60,14823,81,2716.67,1,0
"149",1521401,"0",1998,"GMC","N",0,33,136,NA,2,6119,28191,22,772,29000,28000,0,60,29000,105,3800,25711,1
"150",4466113,"0",1999,"DODGE","N",1,25,151,7,3,10314,25776,40,660,20345.34,22000,0,60,20345.34,92,3900,11111,1
"151",8036407,"0",1997,"LEXUS","N",0,24,204,4,3,9425,34300,27,708,40012.94,39550,3000,48,37012.94,94,13333.33,18034,1
"152",5542774,"0",1999,"BUICK","N",12,28,210,6,3,6629,6300,105,624,15888,23347,0,48,15888,73,6000,14025,1
"153",287117,"1",1997,"HONDA","",0,3,34,NA,NA,NA,NA,0,NA,9514,12025,500,54,9014,85,1950,63337,1
"154",4511107,"0",1997,"CHEVY","N",0,8,97,5,1,954,3150,30,705,16048,15100,0,60,16779,119,2800,37000,1
"155",1560959,"0",1999,"CHEVY","N",0,17,168,6,4,5742,23536,24,738,12782,11375,1300,72,11482,110,3333.33,23000,1
"156",6458886,"0",0,"","N",0,30,156,7,3,22162,46100,48,658,11500,0,2000,60,9500,83,2700,0,0
"157",3569425,"0",1998,"MERCURY","N",3,8,56,4,2,3597,3425,105,634,10800,10800,0,60,10800,112,2894,23000,1
"158",6586731,"1",2000,"FORD","N",8,32,190,7,6,16363,26511,62,682,16037.6,17095,0,60,16037.6,94,5000,1,0
"159",9957361,"0",1998,"CHEVY","N",1,17,74,10,4,9558,8472,113,654,11400,10500,3500,60,7900,83,4820,28000,1
"160",896477,"0",1999,"CHEVROLET","N",0,49,247,10,6,7408,68531,11,709,39300,41355,2000,72,27000,65,8333.33,1,0
"161",6183584,"0",1999,"VOLKSWAGON","N",0,3,267,NA,1,571,0,0,757,18025,18000,1000,36,17025,95,16666.67,9733,1
"162",9326295,"0",1999,"VOLVO","N",8,30,204,8,3,18523,49526,37,584,35400,42315,1400,36,35400,84,15000,4025,1
"163",5716270,"0",1997,"TOYOTA","N",0,4,79,2,1,1165,5000,23,784,15886,14250,1000,60,14886,104,1733.33,36119,1
"164",7477209,"0",2000,"CHEVROLET","N",0,15,60,5,4,16671,17334,96,725,29686,30575,0,60,27686,91,9625,64,0
"165",1406328,"0",1999,"TOYOTA","N",4,33,278,7,4,28749,23106,124,656,13265,13225,0,60,13265,100,5098.33,11000,1
"166",2052856,"0",1999,"TOYOTA","N",2,17,76,6,4,1544,4573,34,631,20795,21050,0,36,20795,103,2000,17503,1
"167",3560657,"1",1999,"NISSAN","N",13,23,141,7,3,665,1812,37,554,18995,19200,300,60,17195,98,4566,15377,1
"168",7931527,"0",1995,"GMC","N",1,5,142,NA,1,393,6026,7,664,20747,20800,0,54,20747,100,2083.33,48000,1
"169",1170691,"1",0,"","N",1,46,171,20,7,15580,23233,67,588,5400,6800,0,60,6597.64,97,3750,0,0
"170",1684090,"0",1997,"MAZDA","N",0,3,72,NA,1,1820,0,0,664,19891.12,17350,2000,60,13391.12,78,2400,39000,1
"171",1144640,"1",1998,"PONTIAC","",NA,NA,NA,NA,NA,NA,NA,0,NA,9956,10400,2000,60,7956,108,6666.67,47000,1
"172",6757562,"0",2000,"CHEVY","N",0,33,146,9,6,6368,27051,24,698,19623,21085,1250,60,18373,88,4166.67,1,0
"173",4487068,"0",2000,"DODGE","N",0,20,213,7,4,2193,52870,4,764,34779.25,28925,924.01,60,33855.24,117,9000,5,0
"174",1910373,"0",1999,"FORD","N",1,6,78,4,2,917,337,272,686,26110,23500,1000,60,25110,107,8066.67,5400,1
"175",7626863,"1",1996,"FORD","N",0,3,17,4,3,1660,3104,53,666,10584,8000,500,66,7900,134,3000,62000,1
"176",5234014,"0",1996,"FORD","N",0,2,18,NA,1,370,1809,20,723,10767,9525,1000,60,9267,124,2300,34000,1
"177",9927237,"0",0,"","N",0,30,131,10,6,4621,84633,5,745,21085.62,0,6000,60,15085.62,72,8333.33,0,0
"178",4200468,"0",2000,"FORD","N",0,32,106,8,4,17274,21824,79,678,36935,37000,0,60,36935,100,4625,3542,1
"179",1184367,"0",1998,"PORSCHA","N",0,41,201,11,4,16980,18200,93,629,42500,43075,0,36,42500,99,25000,14000,1
"180",399849,"0",1999,"CHEVY","N",12,35,152,9,4,10615,4559,233,701,22245,23925,0,48,22245,93,9583.33,11658,1
"181",4062748,"1",1999,"DAEWOO","",NA,NA,NA,NA,NA,NA,NA,0,NA,10600,12400,0,48,10600,91,1500,1,1
"182",6524638,"1",1993,"FORD","N",0,2,40,3,2,605,1169,52,632,5200,5200,0,36,5200,103,1041.67,64736,1
"183",8205986,"0",1999,"PLY","N",0,21,128,4,1,2658,24994,11,714,17612.5,13350,0,60,17612.5,132,1800,4,1
"184",1466634,"0",2000,"LINCOLN","N",7,26,115,7,4,4949,4376,113,648,30969,32050,0,60,30969,103,6666.67,1,0
"185",2657254,"0",1997,"CHEVY","N",4,25,154,6,3,1175,1925,61,642,18180,18000,0,24,3200,26,1833.33,30000,1
"186",6712897,"0",0,"","Y",4,9,147,2,1,953,1200,79,663,7441.44,0,1000,60,6441.44,87,5250,0,0
"187",5271380,"0",1999,"FORD","Y",4,14,88,6,4,2662,4322,62,674,33505,33700,3165,60,30340,102,2400,17478,1
"188",9878210,"0",1998,"FORD","N",2,29,405,5,3,5278,7235,73,666,16000,17975,0,48,16000,96,4100,19000,1
"189",102731,"0",1999,"FORD","N",0,1,37,NA,NA,NA,NA,0,708,15740,11175,3250,60,10725,110,1050,34000,1
"190",7479803,"0",1997,"CHEVROLET","N",0,15,73,NA,6,7362,28300,26,748,10458,9125,1000,60,9458,105,2500,37000,1
"191",1272472,"0",1999,"SUBARU","N",0,18,366,6,5,4021,29522,14,748,21100,18750,5250,60,13050,70,3333.33,3696,1
"192",5841102,"0",1997,"CHEVY","N",0,9,364,2,1,237,13000,2,797,10769,9500,0,66,10769,121,0,19,1
"193",1511277,"0",1998,"HONDA","N",14,19,113,6,2,577,2567,22,640,14979,15075,0,66,14979,102,2633.33,23000,1
"194",3868900,"1",2000,"FORD","N",1,16,43,8,4,1932,2459,79,651,24280,24280,1458,60,22822,98,3591.66,1,0
"195",4984111,"0",2000,"VW","N",4,13,142,3,1,3105,5250,59,NA,2300,19390,2300,48,19386,100,3318.58,1,0
"196",4346284,"0",1997,"TOYO","N",0,3,13,4,1,586,636,92,606,9300,9425,0,54,9000,115,0,40598,1
"197",9077058,"0",1998,"GMC","N",5,6,126,NA,NA,9998,9998,100,689,15350,15000,1212,24,14138,94,9716.67,24500,1
"198",4404500,"0",2000,"TOYOTA","N",1,12,89,4,1,234,6536,4,744,33588.11,30068,3071.32,48,30516.79,101,3333.33,8,0
"199",3755197,"0",2000,"CHEV","N",1,26,209,8,6,12535,12379,101,712,23835,20002,0,72,23835,122,1750,1,0
"200",125566,"0",2000,"OLDS","N",0,7,74,3,2,2678,2800,96,678,22041,22140,0,66,22041,104,4150,0,0
"201",8894332,"1",1998,"PONTIAC","",NA,NA,NA,NA,NA,NA,NA,0,NA,12685.5,11500,3500,60,9185.5,81,918,34543,1
"202",1721428,"0",1999,"FORD","N",1,9,62,7,4,1143,5259,22,665,20734,19500,1500,60,19234,110,15000,28235,1
"203",600898,"0",2000,"TOYOTA","N",2,31,292,10,8,48585,45699,106,678,17557,16728,857,60,17557,109,7666.67,1,0
"204",6021048,"0",1995,"HONDA","N",9,17,99,NA,2,522,1856,28,662,13412,13000,500,54,12912,100,2958,28000,1
"205",9248552,"0",1997,"PONT","N",1,16,291,4,3,1279,12235,10,723,12800,12000,7000,36,5800,57,1906.66,29428,1
"206",9372597,"0",1999,"FORD","N",1,24,217,9,5,5908,20300,29,703,25000,23000,0,48,25000,109,6666,10363,1
"207",1010756,"0",1999,"VW","N",1,9,173,4,3,13898,23400,59,633,22953,17685,5268,60,22953,133,3312,75,1
